Name,Label,k-fold,Label_enc,Duration
telugu_s02_125.wav,in-en,0,1,5
odiya_s01_584.wav,in-en,0,1,4
arctic_a0146.wav,in-en,0,1,3
telugu_s02_537.wav,in-en,0,1,5
odiya_s01_071.wav,in-en,0,1,4
odiya_s01_239.wav,in-en,0,1,4
telugu_s02_193.wav,in-en,0,1,4
hindi_0953.wav,hi,0,0,7
odiya_s01_398.wav,in-en,0,1,4
telugu_s02_136.wav,in-en,0,1,4
odiya_s01_215.wav,in-en,0,1,4
telugu_s02_572.wav,in-en,0,1,5
odiya_s01_376.wav,in-en,0,1,5
odiya_s01_098.wav,in-en,0,1,5
hindi_0709.wav,hi,0,0,7
arctic_a0115.wav,in-en,0,1,4
arctic_a0563.wav,in-en,0,1,3
arctic_a0523.wav,in-en,0,1,4
arctic_a0116.wav,in-en,0,1,4
hindi_0507.wav,hi,0,0,5
hindi_0943.wav,hi,0,0,7
hindi_0411.wav,hi,0,0,6
hindi_0747.wav,hi,0,0,9
odiya_s01_230.wav,in-en,0,1,5
odiya_s01_066.wav,in-en,0,1,5
common_voice_hi_23795358.wav,hi,0,0,7
odiya_s01_429.wav,in-en,0,1,4
hindi_0792.wav,hi,0,0,6
hindi_0909.wav,hi,0,0,5
arctic_a0123.wav,in-en,0,1,3
hindi_1143.wav,hi,0,0,5
hindi_0829.wav,hi,0,0,6
telugu_s02_674.wav,in-en,0,1,4
common_voice_hi_23827793.wav,hi,0,0,3
common_voice_hi_24026292.wav,hi,0,0,3
odiya_s01_039.wav,in-en,0,1,4
common_voice_hi_23833609.wav,hi,0,0,5
hindi_0048.wav,hi,0,0,5
telugu_s02_082.wav,in-en,0,1,4
hindi_0515.wav,hi,0,0,7
hindi_1107.wav,hi,0,0,5
common_voice_hi_24026316.wav,hi,0,0,5
arctic_a0093.wav,in-en,0,1,3
odiya_s01_185.wav,in-en,0,1,4
arctic_a0245.wav,in-en,0,1,5
odiya_s01_375.wav,in-en,0,1,5
odiya_s01_001.wav,in-en,0,1,5
telugu_s02_654.wav,in-en,0,1,5
hindi_0423.wav,hi,0,0,7
arctic_a0252.wav,in-en,0,1,4
telugu_s02_612.wav,in-en,0,1,5
hindi_0678.wav,hi,0,0,6
hindi_1052.wav,hi,0,0,7
hindi_0626.wav,hi,0,0,6
odiya_s01_503.wav,in-en,0,1,4
telugu_s02_553.wav,in-en,0,1,4
telugu_s02_152.wav,in-en,0,1,5
hindi_0607.wav,hi,0,0,6
hindi_1011.wav,hi,0,0,6
telugu_s02_408.wav,in-en,0,1,5
hindi_0936.wav,hi,0,0,8
hindi_0611.wav,hi,0,0,6
telugu_s02_186.wav,in-en,0,1,4
odiya_s01_533.wav,in-en,0,1,5
odiya_s01_718.wav,in-en,0,1,5
telugu_s02_685.wav,in-en,0,1,4
odiya_s01_435.wav,in-en,0,1,5
arctic_a0575.wav,in-en,0,1,3
odiya_s01_551.wav,in-en,0,1,4
